scores.visitors.points,scores.home.points,last_ten_w_prc,w_prc,games_played,points0,points1,points2,points3,points4,min0,min1,min2,min3,min4,fgm0,fgm1,fgm2,fgm3,fgm4,fga0,fga1,fga2,fga3,fga4,fgp0,fgp1,fgp2,fgp3,fgp4,ftm0,ftm1,ftm2,ftm3,ftm4,fta0,fta1,fta2,fta3,fta4,ftp0,ftp1,ftp2,ftp3,ftp4,tpm0,tpm1,tpm2,tpm3,tpm4,tpa0,tpa1,tpa2,tpa3,tpa4,tpp0,tpp1,tpp2,tpp3,tpp4,offReb0,offReb1,offReb2,offReb3,offReb4,defReb0,defReb1,defReb2,defReb3,defReb4,totReb0,totReb1,totReb2,totReb3,totReb4,assists0,assists1,assists2,assists3,assists4,pFouls0,pFouls1,pFouls2,pFouls3,pFouls4,steals0,steals1,steals2,steals3,steals4,turnovers0,turnovers1,turnovers2,turnovers3,turnovers4,blocks0,blocks1,blocks2,blocks3,blocks4,plusMinus0,plusMinus1,plusMinus2,plusMinus3,plusMinus4
122.0,146.0,0.6,0.5416666666666666,24,0,0,0,3,0,3,18,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,100.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,-2.0,-3.0,-4.0,-4.0,-4.0
123.0,133.0,0.5,0.52,25,17,13,5,6,23,25,19,29,27,31,4,5,2,2,9,10,10,4,4,16,40.0,50.0,50.0,50.0,56.3,6,0,1,0,3,6,0,2,0,4,100.0,0,50.0,0,75.0,3,3,0,2,2,8,7,0,3,5,37.5,42.9,0,66.7,40.0,0,0,4,1,1,0,1,12,5,2,0,1,16,6,3,1,2,4,7,3,2,1,4,4,0,0,0,0,0,1,0,2,1,1,0,0,0,2,0,0,15.0,12.0,9.0,5.0,-12.0
130.0,136.0,0.5,0.5384615384615384,26,19,16,2,3,21,27,31,21,10,38,7,6,1,1,7,11,8,2,2,12,63.6,75.0,50.0,50.0,58.3,0,1,0,0,4,0,2,0,0,6,0,50.0,0,0,66.7,5,3,0,1,3,7,3,0,1,5,71.4,100.0,0,100.0,60.0,0,3,3,0,0,3,4,4,0,2,3,7,7,0,2,1,8,1,3,9,0,4,3,1,5,0,1,0,0,1,0,1,0,0,7,0,0,0,0,0,10.0,8.0,5.0,5.0,1.0
113.0,117.0,0.5,0.5185185185185185,27,32,21,23,7,9,39,27,39,29,24,14,6,6,3,3,23,13,19,4,16,60.9,46.2,31.6,75.0,18.8,2,5,11,1,3,2,7,16,1,4,100.0,71.4,68.8,100.0,75.0,2,4,0,0,0,6,9,6,0,7,33.3,44.4,0,0,0,3,3,2,3,1,9,4,5,3,5,12,7,7,6,6,6,1,8,0,2,4,2,4,3,2,1,4,2,0,0,2,0,3,0,0,1,0,0,2,0,13.0,12.0,9.0,5.0,-4.0
139.0,122.0,0.5,0.5357142857142857,28,6,7,10,9,50,29,31,24,15,35,3,2,3,3,17,8,2,8,7,23,37.5,100.0,37.5,42.9,73.9,0,3,3,0,7,0,4,4,0,9,0,75.0,75.0,0,77.8,0,0,1,3,9,3,0,3,6,9,0,0,33.3,50.0,100.0,2,1,0,2,1,0,7,5,0,5,2,8,5,2,6,2,2,3,1,9,0,3,2,2,0,0,1,2,0,5,0,2,1,0,2,0,3,0,0,0,34.0,29.0,28.0,12.0,7.0
122.0,144.0,0.5,0.5172413793103449,29,0,9,2,0,0,3,19,6,6,8,0,3,1,0,0,1,8,3,1,1,0,37.5,33.3,0,0,0,3,0,0,0,0,4,0,0,0,0,75.0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,1,0,4,1,2,1,0,3,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,10.0,3.0,2.0,2.0,1.0
114.0,109.0,0.5,0.5333333333333333,30,27,9,20,3,29,43,39,29,11,37,12,3,8,1,10,22,4,15,5,21,54.5,75.0,53.3,20.0,47.6,2,3,1,0,6,2,6,1,0,6,100.0,50.0,100.0,0,100.0,1,0,3,1,3,4,0,7,4,6,25.0,0,42.9,25.0,50.0,1,7,0,0,1,13,10,3,0,3,14,17,3,0,4,3,2,2,2,3,3,3,2,0,0,0,2,1,1,1,2,1,1,0,4,0,2,0,0,1,17.0,15.0,7.0,4.0,1.0
121.0,102.0,0.5,0.5483870967741935,31,26,2,16,23,14,34,30,32,23,27,9,1,6,9,5,20,3,15,15,11,45.0,33.3,40.0,60.0,45.5,8,0,3,0,4,9,0,4,0,4,88.9,0,75.0,0,100.0,0,0,1,5,0,4,0,3,10,1,0,0,33.3,50.0,0,2,5,1,2,0,5,5,6,6,5,7,10,7,8,5,4,3,8,1,2,3,1,0,2,2,0,0,1,3,1,1,0,3,2,2,0,2,0,0,1,27.0,21.0,18.0,13.0,13.0
130.0,111.0,0.4,0.53125,32,0,11,26,0,0,-,24,34,1,1,0,4,8,0,0,0,7,17,1,0,0,57.1,47.1,0,0,0,0,10,0,0,0,0,10,0,0,0,0,100.0,0,0,0,3,0,0,0,0,6,2,0,0,0,50.0,0,0,0,0,1,1,0,0,0,1,7,0,1,0,2,8,0,1,0,2,1,0,0,0,3,3,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0.0,-2.0,-3.0,-3.0,-3.0
122.0,129.0,0.5,0.5454545454545454,33,20,10,24,38,0,22,31,41,37,15,7,5,8,15,0,10,7,17,28,1,70.0,71.4,47.1,53.6,0,4,0,6,7,0,4,0,6,9,0,100.0,0,100.0,77.8,0,2,0,2,1,0,4,2,5,3,1,50.0,0,40.0,33.3,0,0,0,1,1,0,0,9,8,3,3,0,9,9,4,3,1,4,2,6,3,1,1,3,0,2,1,2,1,1,0,1,2,4,0,0,0,0,0,0,3,14.0,7.0,6.0,6.0,4.0
120.0,129.0,0.5,0.5294117647058824,34,4,22,6,0,17,37,25,11,0,21,2,7,2,0,6,6,10,2,0,10,33.3,70.0,100.0,0,60.0,0,4,0,0,0,0,4,0,0,0,0,100.0,0,0,0,0,4,2,0,5,0,5,2,0,9,0,80.0,100.0,0,55.6,3,0,0,0,0,6,0,3,0,2,9,0,3,0,2,2,2,1,0,0,3,0,1,0,2,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,4.0,2.0,0.0,0.0,-1.0
