bet_type,player_name,overKellyStake,underKellyStake,line,over_odds,under_odds,teamName,opponentTeamName,dateStart,calculatedAt
player_assists,Max Christie,0.00,46.03,1.50,-163.00,123.00,Dallas Mavericks,New York Knicks,2026-01-19T22:10:00Z,2026-01-19T20:52:24.965817
player_assists,Derrick White,0.00,49.74,4.50,-161.00,122.00,Boston Celtics,Detroit Pistons,2026-01-20T01:10:00Z,2026-01-19T20:52:25.766441
player_assists,Jaylen Brown,5.57,0.00,4.50,106.00,-140.00,Boston Celtics,Detroit Pistons,2026-01-20T01:10:00Z,2026-01-19T20:52:25.772147
player_assists,Ausar Thompson,49.53,0.00,2.50,130.00,-172.00,Detroit Pistons,Boston Celtics,2026-01-20T01:10:00Z,2026-01-19T20:52:25.777805
player_assists,Tobias Harris,54.29,0.00,2.50,133.00,-177.00,Detroit Pistons,Boston Celtics,2026-01-20T01:10:00Z,2026-01-19T20:52:25.780745
player_assists,Jalen Duren,0.00,44.36,1.50,-153.00,116.00,Detroit Pistons,Boston Celtics,2026-01-20T01:10:00Z,2026-01-19T20:52:25.783597
player_assists,Davion Mitchell,0.00,15.41,6.50,-134.00,102.00,Miami Heat,Golden State Warriors,2026-01-20T03:10:00Z,2026-01-19T20:52:25.974648
player_assists,Draymond Green,0.00,17.76,5.50,-142.00,108.00,Golden State Warriors,Miami Heat,2026-01-20T03:10:00Z,2026-01-19T20:52:25.977616
player_assists,Stephen Curry,7.81,0.00,5.50,107.00,-140.00,Golden State Warriors,Miami Heat,2026-01-20T03:10:00Z,2026-01-19T20:52:25.980438
player_assists,Jimmy Butler,16.38,0.00,5.50,111.00,-146.00,Golden State Warriors,Miami Heat,2026-01-20T03:10:00Z,2026-01-19T20:52:25.983259
player_assists,Brandin Podziemski,43.66,0.00,3.50,126.00,-167.00,Golden State Warriors,Miami Heat,2026-01-20T03:10:00Z,2026-01-19T20:52:25.986074
player_assists,Bam Adebayo,0.00,63.67,2.50,-173.00,131.00,Miami Heat,Golden State Warriors,2026-01-20T03:10:00Z,2026-01-19T20:52:25.988894
player_assists,Pelle Larsson,0.00,60.40,2.50,-170.00,128.00,Miami Heat,Golden State Warriors,2026-01-20T03:10:00Z,2026-01-19T20:52:25.991716
player_assists,Andrew Wiggins,0.00,3.95,2.50,-131.00,-101.00,Miami Heat,Golden State Warriors,2026-01-20T03:10:00Z,2026-01-19T20:52:25.994535
player_assists,Payton Pritchard,0.00,4.12,4.50,-134.00,102.00,Boston Celtics,Detroit Pistons,2026-01-20T01:10:00Z,2026-01-19T20:52:25.769294
player_assists,Naji Marshall,0.00,49.11,2.50,-167.00,127.00,Dallas Mavericks,New York Knicks,2026-01-19T22:10:00Z,2026-01-19T20:52:24.960080
player_assists,Aaron Nesmith,0.00,80.42,1.50,-196.00,148.00,Indiana Pacers,Philadelphia 76ers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.438659
player_assists,Shai Gilgeous-Alexander,3.28,0.00,5.50,105.00,-135.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.628224
player_assists,Kris Dunn,14.29,0.00,3.50,110.00,-140.00,Utah Jazz,Washington Wizards,2026-01-19T20:12:00Z,2026-01-19T20:52:24.840285
player_assists,Alex Sarr,0.00,18.17,2.50,-135.00,105.00,Washington Wizards,LA Clippers,2026-01-19T20:12:00Z,2026-01-19T20:52:24.843155
player_assists,Evan Mobley,0.00,57.00,3.50,-166.00,130.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.635603
player_assists,Jaylon Tyson,95.62,0.00,3.50,170.00,-220.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.641587
player_assists,Kyshawn George,0.00,67.08,5.50,-166.00,130.00,Washington Wizards,LA Clippers,2026-01-19T20:12:00Z,2026-01-19T20:52:24.833570
player_points,Sam Hauser,12.01,0.00,9.50,107.00,-137.00,Boston Celtics,Detroit Pistons,2026-01-20T01:10:00Z,2026-01-19T20:52:25.815033
player_points,Brook Lopez,7.52,0.00,7.50,105.00,-135.00,Milwaukee Bucks,Washington Wizards,2026-01-19T20:12:00Z,2026-01-19T20:52:24.860491
player_points,Evan Mobley,0.00,12.84,17.50,-135.00,105.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.656578
player_points,Luguentz Dort,44.33,0.00,14.50,124.00,-160.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.668691
player_points,Jarrett Allen,37.55,0.00,13.50,120.00,-154.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.675772
player_points,Royce O'Neale,0.00,6.31,8.50,-133.00,104.00,Phoenix Suns,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.629700
player_points_assists,Chet Holmgren,11.32,0.00,19.50,105.00,-135.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.698469
player_points_assists,Jarrett Allen,11.32,0.00,15.50,105.00,-135.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.701598
player_points_rebounds,Cason Wallace,11.48,0.00,10.50,105.00,-135.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.740618
player_points_rebounds,Luguentz Dort,0.00,22.44,17.50,-140.00,110.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.733944
player_rebounds,Noah Clowney,5.69,0.00,5.50,113.00,-150.00,Brooklyn Nets,Phoenix Suns,2026-01-20T00:40:00Z,2026-01-19T20:52:25.720425
player_rebounds,Devin Booker,0.00,17.71,3.50,-147.00,111.00,Phoenix Suns,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.726117
player_rebounds,Terance Mann,13.47,0.00,3.50,115.00,-151.00,Atlanta Hawks,Phoenix Suns,2026-01-20T00:40:00Z,2026-01-19T20:52:25.731836
player_rebounds,Donovan Mitchell,3.18,0.00,4.50,110.00,-140.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.790417
